article_id,title,year,issue,volume,pdf_url
2023_1_3,闫巍  李智伟 页码:0,2023,1,50,http://gl.hmc.edu.cn/upload/files/202301003.pdf
2023_1_4,毛雨婷  柯比努尔·吐尔逊  潘金良  潘珂君  孙丽华 页码:0,2023,1,50,http://gl.hmc.edu.cn/upload/files/202301004.pdf
2023_1_5,王燕腾  卫飞燕  常甜  邓春青  李红 页码:0,2023,1,50,http://gl.hmc.edu.cn/upload/files/202301005.pdf
2023_1_6,项婷婷  马淑敏  何泳愉  路鑫怡  郭潮潭  杨灿  杨新燕  沃恩康 页码:0,2023,1,50,http://gl.hmc.edu.cn/upload/files/202301006.pdf
2023_1_7,安彤  李思奇  张柯欣  沈钱通  张月  张温阳  朱赟  高孟  陈刚  庄昉成 页码:0,2023,1,50,http://gl.hmc.edu.cn/upload/files/202301007.pdf
2023_1_8,陈派镇  周文盛  林广裕  黄泽鑫  陈俊铎  林创兴  蔡晓莹  周晓华 页码:0,2023,1,50,http://gl.hmc.edu.cn/upload/files/202301008.pdf
2023_1_9,王蓉  毛洋  焦素黎  丁克琴  倪红霞 页码:0,2023,1,50,http://gl.hmc.edu.cn/upload/files/202301009.pdf
2023_1_10,胡昱  龚杰 页码:0,2023,1,50,http://gl.hmc.edu.cn/upload/files/202301010.pdf
2023_1_11,李楠  姜黎黎  周永明  牟建春  倪刚  周晓芳  曹亿会 页码:0,2023,1,50,http://gl.hmc.edu.cn/upload/files/202301011.pdf
2023_1_12,黄菲菲  贾文辉 页码:0,2023,1,50,http://gl.hmc.edu.cn/upload/files/202301012.pdf
2023_1_13,李佐君  金建敏 页码:0,2023,1,50,http://gl.hmc.edu.cn/upload/files/202301013.pdf
2023_2_1,中华人民共和国国家卫生健康委员会 页码:79,2023,2,50,http://gl.hmc.edu.cn/upload/files/202302001.pdf
2023_2_2,高静韬  刘宇红 页码:85,2023,2,50,http://gl.hmc.edu.cn/upload/files/202302002.pdf
2023_2_3,高静韬  孙玙贤  舒薇  张立杰  谢仕恒  刘宇红 页码:92,2023,2,50,http://gl.hmc.edu.cn/upload/files/202302003.pdf
