article_id,title,authors,year,issue,volumn_page,pdf_url,doi
11386,闵行区第五轮全球基金流动人口结核病项目中期实施效果分析,"唐利红, 严慧琴, 成玉萍, 张金兰",未知,1151,https://www.zgflzz.cn/CN//volumn/volumn_1151.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11386,
11387,9例广泛耐药肺结核患者临床分析,"张廷梅, 熊敏, 蔡翠, 骆科文, 龙应林",未知,1151,https://www.zgflzz.cn/CN//volumn/volumn_1151.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11387,
10953,在DOTS管理下应用国产4药固定剂量复合剂治疗初治菌阳肺结核的可行性研究,"马丽萍, 吴晓光, 初乃慧, 朱莉贞, 陕斌, 王敏, 王燕, 张文书, 李会军, 候栋7",未知,1151,https://www.zgflzz.cn/CN//volumn/volumn_1151.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10953,
10954,甘肃省甘南州实施结核病控制项目效果分析,杨菊芳,未知,1151,https://www.zgflzz.cn/CN//volumn/volumn_1151.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10954,
11388,CT在胸膜结核瘤诊断中的价值,"张磊, 周衍慧, 何燕, 赵广成, 李景英, 王俊英, 刘佳, 王乐峰, 贾素华",未知,1151,https://www.zgflzz.cn/CN//volumn/volumn_1151.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11388,
10955,18例脾结核临床分析,"陈松松, 郭青",未知,1151,https://www.zgflzz.cn/CN//volumn/volumn_1151.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10955,
11389,T细胞、NKT和NK细胞在结核病诊断中的意义探讨,"张青, 肖和平",未知,1151,https://www.zgflzz.cn/CN//volumn/volumn_1151.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11389,
10956,石蜡包埋组织实时荧光定量聚合酶链反应检测在结核病诊断中的价值,"李秀武, 李幸彬, 杜秀然, 贾晨光, 陈荣娟",未知,1151,https://www.zgflzz.cn/CN//volumn/volumn_1151.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10956,
11390,发光二极管荧光显微镜实验室诊断效果评价,"尚美, 刘冠, 赵立平, 夏辉, 姜广路, 黄海荣, 赵雁林",未知,1151,https://www.zgflzz.cn/CN//volumn/volumn_1151.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=11390,
10946,液基夹层杯技术检测抗酸杆菌应用性研究,"杨华林, 谭云洪, 白丽琼, 胡培磊",未知,1151,https://www.zgflzz.cn/CN//volumn/volumn_1151.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10946,
10944,4种检测脑脊液结核分枝杆菌法对结核性脑膜炎诊断价值的探讨,"韩利军, 闫世明, 秦桂香, 孙力, 冯丽娜",未知,1151,https://www.zgflzz.cn/CN//volumn/volumn_1151.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10944,
10947,高压球囊气道成形术治疗结核性气道狭窄改善肺功能的观察,"蒋瑞华, 沙巍",未知,1151,https://www.zgflzz.cn/CN//volumn/volumn_1151.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10947,
10945,免疫层析法试剂盒快速鉴别结核与非结核分枝杆菌临床菌株的应用价值,"韩敏, 乐军",未知,1151,https://www.zgflzz.cn/CN//volumn/volumn_1151.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10945,
10948,肺结核患者呼吸道菌群研究简述,"刘冠, 赵雁林",未知,1151,https://www.zgflzz.cn/CN//volumn/volumn_1151.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10948,
10949,33例椎体结核并椎旁脓疡的超声分析,"时绍奖, 蒋楚华, 俸成钢",未知,1151,https://www.zgflzz.cn/CN//volumn/volumn_1151.shtml,https://www.zgflzz.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=10949,
