article_id,title,issue_url,pdf_url
hjjydxxb-46-7-889,PDF 1.14 M (310),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_7,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-7-889?st=article_issue
hjjydxxb-46-7-898,PDF 1.16 M (312),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_7,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-7-898?st=article_issue
hjjydxxb-46-7-910,PDF 1.01 M (356),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_7,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-7-910?st=article_issue
hjjydxxb-46-7-916,PDF 1.20 M (317),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_7,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-7-916?st=article_issue
hjjydxxb-46-7-922,PDF 1.21 M (300),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_7,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-7-922?st=article_issue
hjjydxxb-46-7-931,PDF 1.02 M (296),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_7,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-7-931?st=article_issue
hjjydxxb-46-7-938,PDF 1.18 M (297),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_7,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-7-938?st=article_issue
hjjydxxb-46-7-944,PDF 1.21 M (291),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_7,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-7-944?st=article_issue
hjjydxxb-46-7-950,PDF 1.33 M (370),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_7,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-7-950?st=article_issue
hjjydxxb-46-7-956,PDF 1.13 M (296),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_7,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-7-956?st=article_issue
hjjydxxb-46-7-960,PDF 1.49 M (281),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_7,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-7-960?st=article_issue
2025070000,PDF 509.66 K (232),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_7,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/2025070000?st=article_issue
20250601,PDF 1.34 M (733),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_6,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250601?st=article_issue
20250602,PDF 2.28 M (305),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_6,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250602?st=article_issue
20250603,PDF 1.78 M (271),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_6,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250603?st=article_issue
